Q1a:Are you generally satisfied with your overall experience of roads on the Ugandan road network?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,Region,,,,,District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Road Type,,Respondent Gender,,Road Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Respondent Type,,,,,,,,,,,,Age bracket,,,,,,,,,,,,,,,
,,,,Southern,Central,Eastern,Northern,Western,Kampala,Wakiso,Mubende,Mityana,Soroti,Ngora,Mbale,Amuria,Tororo,Arua,Gulu,Nwoya,Lamwo,Oyam,Lira,Kitgum,Alebtong,Dokolo,Bukedea,Kamuli,Iganga,Busia,Luwero,Rakai,Mukono,Bushenyi,Ntungamo,Mbarara,Masindi,Kasese,Hoima,PAVED,UNPAVED,MALE,FEMALE, Access to Katabi (Kampala/Wakiso), Entebbe-Nakiwogo (Kampala/Wakiso), Mbuya/Silver Springs-Bweyogerere (Kampala/Wakiso), Kakikiri-Lwentama (Kampala/Wakiso), Entebbe Road (Kampala/Wakiso), Kampala-Luweero-Karuma-Gulu-Uganda/Sudan Boarder (Kampala/Wakiso), Busega-Northern bypass (Kampala/Wakiso), Abayita-Ababiri-Kasenyi (Kampala/Wakiso), Old Masaka Road(Kyengera-Kabojja Secondary school turn off) (Kampala/Wakiso), Namboole-Kampala Industrial park-Mukono (Kampala/Wakiso), Misindye-bukerere-kiyunge (Kampala/Wakiso), Kampala Northern bypass ( Central), Muyina Yina Prison ( Central), Kampala-Mubende-Fort portal-Uganda/DRC Boarder ( Central), Mityana-Railway Access ( Central), Rwebituti-Gold mines spur ( Central), Mityana Katakala Naama ( Central), Zirobwe-Lwajjali-Kasawo-Kabimbili ( Central), Kampala-Uganda/Kenya boarder(Malaba) ( Central), Mukono-kyetume-Kisoga-Katosi ( Central), Nabbingo Access Road ( Central), Masaka-Kyotela-Mutukula ( Central), Kubili-Round about-Gayaza-Kalagi ( Central), Tirinyi-Pallisa-Ladot-kumi ( East), Amuria-Amucu-Kapelebyong-Oreta ( East), Iganga-Tirinyi-Mbale ( East), Lira Junction-Arapai ( East), Tororo-Mbale-Soroti-Lira-Kamdini corner ( East), Iganga-Tirinyi-Mbale ( East), Magodes Busumbu Bunamba ( East), Kamuli Railway Access ( East), Iganga Railway Access ( East), Namutere-Busia ( East), Kachumbala-Korir ( East), Kampala-Uganda/Kenya boarder(Malaba) ( East), Ngetta-Apala-Adwari (North), Tororo-Mbale-Soroti-Lira-Kamdini corner  (North), Kitgum-Orom (North), Karuma-Packwach-Nebbi-Arua-Koboko-Uganda/Sudan Boarder (North), Lira-Acholibur-kitgum-Uganda/Sudan Boader  (North), Atiak-Adjumani-Moyo-Yumbe-Manibe (North), Kampala-Luweero-Karuma-Gulu-Uganda/Sudan Boarder  (North), Karuma-Packwach-Nebbi-Arua-Koboko-Uganda/Sudan Boarder (North), Layibi-Custom Corner (North), Tororo-Mbale-Soroti-Lira-Kamdini Corner (North), Arua-Biliafe-Otrevu (North), Karuma-Packwach-Nebbi-Arua-Koboko-Uganda/Sudan Boarder  (North), Kakuru-Rubale (West), Ntare-Mutonto-Kacwangole (West), Kisanja Park jctn-Buliisa (West), Ntungamo-Kitaga-Kikolongo (West), Kampala-Mubende-Fort portal-Uganda/DRC Boarder (West), Kasese-Railway Station Road (West), Kagamba Rukungiri (West), Ntungamo-Kakukuru (West), Kampala-Masaka-Mbarara-Kabale-Uganda/Rwanda boarder (West), Kabwohe-Bwizibwera (West), Kampala-Busunju-Kiboga-Hoima (West), Bwijanga-Isimba Prisons (West), Kyampisi-Musamya-Najoge-Namataba,Trucker Driver,Motor-cyclists,Bus / Matatu Drivers,Car Drivers,Passenger,Cyclist,Trucker Driver,Motor-cyclists,Bus / Matatu Drivers,Car Drivers,Passenger,Cyclist,18-24,25-30,31-36,37-44,45-54,55-63,64 +,RTA,18-24,25-30,31-36,37-44,45-54,55-63,64 +,RTA
Total,,,2400,480,480,480,480,480,160,400,120,80,40,40,80,40,80,160,40,40,40,40,40,40,40,40,40,40,80,40,40,40,120,80,120,80,80,80,40,1200,1200,2170,230,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,398,403,396,403,402,398,398,403,396,403,402,398,448,702,483,393,272,71,30,1,448,702,483,393,272,71,30,1
,,,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
,Very dissatisfied,,235,63,82,28,35,27,27,47,21,14,4,2,1,1,5,8,3,1,2,0,1,8,11,1,3,6,5,1,4,4,28,7,5,4,5,5,1,78,157,217,18,1,2,5,13,4,5,6,4,5,12,4,4,7,4,5,10,9,4,13,13,3,4,6,2,1,0,4,1,1,4,6,5,1,3,0,11,1,8,0,2,5,0,0,3,1,3,1,3,4,2,5,3,2,0,2,0,2,1,3,2,40,47,44,36,37,31,40,47,44,36,37,31,36,79,49,39,21,6,4,1,36,79,49,39,21,6,4,1
,,,10%,13%,17%,6%,7%,6%,17%,12%,18%,18%,10%,5%,1%,3%,6%,5%,8%,3%,5%,0%,3%,20%,28%,3%,8%,15%,6%,3%,10%,10%,23%,9%,4%,5%,6%,6%,3%,7%,13%,10%,8%,3%,5%,13%,33%,10%,13%,15%,10%,13%,30%,10%,10%,18%,10%,13%,25%,23%,10%,33%,33%,8%,10%,15%,5%,3%,0%,10%,3%,3%,10%,15%,13%,3%,8%,0%,28%,3%,20%,0%,5%,13%,0%,0%,8%,3%,8%,3%,8%,10%,5%,13%,8%,5%,0%,5%,0%,5%,3%,8%,5%,10%,12%,11%,9%,9%,8%,10%,12%,11%,9%,9%,8%,8%,11%,10%,10%,8%,8%,13%,100%,8%,11%,10%,10%,8%,8%,13%,100%
,Dissatisfied,,1190,242,266,241,212,229,70,219,62,42,23,19,41,23,34,64,16,20,19,21,18,17,21,16,21,20,46,14,23,26,66,35,46,38,55,34,21,581,609,1069,121,30,17,22,16,18,18,16,24,21,14,22,22,20,22,23,20,19,23,21,21,27,26,22,19,23,26,23,15,15,19,20,21,14,21,25,21,16,17,11,19,23,21,10,16,18,20,20,17,18,28,18,17,17,13,16,20,17,21,27,24,212,195,185,195,199,204,212,195,185,195,199,204,227,326,250,203,138,37,9,0,227,326,250,203,138,37,9,0
,,,50%,50%,55%,50%,44%,48%,44%,55%,52%,53%,58%,48%,51%,58%,43%,40%,40%,50%,48%,53%,45%,43%,53%,40%,53%,50%,58%,35%,58%,65%,55%,44%,38%,48%,69%,43%,53%,48%,51%,49%,53%,75%,43%,55%,40%,45%,45%,40%,60%,53%,35%,55%,55%,50%,55%,58%,50%,48%,58%,53%,53%,68%,65%,55%,48%,58%,65%,58%,38%,38%,48%,50%,53%,35%,53%,63%,53%,40%,43%,28%,48%,58%,53%,25%,40%,45%,50%,50%,43%,45%,70%,45%,43%,43%,33%,40%,50%,43%,53%,68%,60%,53%,48%,47%,48%,50%,51%,53%,48%,47%,48%,50%,51%,51%,46%,52%,52%,51%,52%,30%,0%,51%,46%,52%,52%,51%,52%,30%,0%
,Neither satisfied nor dissatisfied,,155,38,12,29,50,26,14,23,2,3,4,4,8,2,4,22,4,3,2,3,4,5,2,5,2,3,2,0,0,2,6,6,5,6,2,5,2,82,73,143,12,1,4,7,1,3,3,1,3,5,3,3,1,0,0,3,2,0,0,1,1,0,2,2,4,2,3,4,2,5,2,3,1,0,2,1,2,5,5,7,2,4,3,6,4,4,5,3,2,3,1,4,1,4,0,3,3,2,2,1,4,26,21,24,38,21,25,26,21,24,38,21,25,23,46,33,20,25,5,3,0,23,46,33,20,25,5,3,0
,,,6%,8%,3%,6%,10%,5%,9%,6%,2%,4%,10%,10%,10%,5%,5%,14%,10%,8%,5%,8%,10%,13%,5%,13%,5%,8%,3%,0%,0%,5%,5%,8%,4%,8%,3%,6%,5%,7%,6%,7%,5%,3%,10%,18%,3%,8%,8%,3%,8%,13%,8%,8%,3%,0%,0%,8%,5%,0%,0%,3%,3%,0%,5%,5%,10%,5%,8%,10%,5%,13%,5%,8%,3%,0%,5%,3%,5%,13%,13%,18%,5%,10%,8%,15%,10%,10%,13%,8%,5%,8%,3%,10%,3%,10%,0%,8%,8%,5%,5%,3%,10%,7%,5%,6%,9%,5%,6%,7%,5%,6%,9%,5%,6%,5%,7%,7%,5%,9%,7%,10%,0%,5%,7%,7%,5%,9%,7%,10%,0%
,Satisfied,,745,120,106,176,168,175,40,102,29,19,9,15,29,14,35,62,14,15,15,15,17,9,6,15,13,11,26,24,10,8,18,30,54,28,16,31,16,414,331,676,69,7,15,6,9,13,13,12,9,8,9,11,11,10,11,8,8,11,10,5,5,10,8,9,15,14,10,9,20,19,15,11,12,24,13,14,6,15,9,19,15,8,15,23,14,17,12,15,16,15,8,13,16,15,21,17,13,17,16,8,8,108,128,131,123,130,125,108,128,131,123,130,125,147,231,141,125,71,19,11,0,147,231,141,125,71,19,11,0
