"Q3a:Thinking about all the issuess we have discussed related to your experience on UNRA'S  roads, please rate your general satisfaction  with UNRA's services related to",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, Total,,Region,,,,,,,,,,District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Road Type,,,,Respondent Gender,,,,Road Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Respondent Type,,,,,,,,,,,,Age bracket,,,,,,,,,,,,,,,
,,,,Southern,, Central,, Eastern,, Northern,, Western,,Kampala,,Wakiso,,Mubende,,Mityana,,Soroti,,Ngora,,Mbale,,Amuria,,Tororo,,Arua,,Gulu,,Nwoya,,Lamwo,,Oyam,,Lira,,Kitgum,,Alebtong,,Dokolo,,Bukedea,,Kamuli,,Iganga,,Busia,,Luwero,,Rakai,,Mukono,,Bushenyi,,Ntungamo,,Mbarara,,Masindi,,Kasese,,Hoima,,PAVED,,UNPAVED,,MALE,,FEMALE,, Access to Katabi (Kampala/Wakiso),, Entebbe-Nakiwogo (Kampala/Wakiso),, Mbuya/Silver Springs-Bweyogerere (Kampala/Wakiso),, Kakikiri-Lwentama (Kampala/Wakiso),, Entebbe Road (Kampala/Wakiso),, Kampala-Luweero-Karuma-Gulu-Uganda/Sudan Boarder (Kampala/Wakiso),, Busega-Northern bypass (Kampala/Wakiso),, Abayita-Ababiri-Kasenyi (Kampala/Wakiso),, Old Masaka Road(Kyengera-Kabojja Secondary school turn off) (Kampala/Wakiso),, Namboole-Kampala Industrial park-Mukono (Kampala/Wakiso),, Misindye-bukerere-kiyunge (Kampala/Wakiso),, Kampala Northern bypass ( Central),, Muyina Yina Prison ( Central),, Kampala-Mubende-Fort portal-Uganda/DRC Boarder ( Central),, Mityana-Railway Access ( Central),, Rwebituti-Gold mines spur ( Central),, Mityana Katakala Naama ( Central),, Zirobwe-Lwajjali-Kasawo-Kabimbili ( Central),, Kampala-Uganda/Kenya boarder(Malaba) ( Central),, Mukono-kyetume-Kisoga-Katosi ( Central),, Nabbingo Access Road ( Central),, Masaka-Kyotela-Mutukula ( Central),, Kubili-Round about-Gayaza-Kalagi ( Central),, Tirinyi-Pallisa-Ladot-kumi ( East),, Amuria-Amucu-Kapelebyong-Oreta ( East),, Iganga-Tirinyi-Mbale ( East),, Lira Junction-Arapai ( East),, Tororo-Mbale-Soroti-Lira-Kamdini corner ( East),, Iganga-Tirinyi-Mbale ( East),, Magodes Busumbu Bunamba ( East),, Kamuli Railway Access ( East),, Iganga Railway Access ( East),, Namutere-Busia ( East),, Kachumbala-Korir ( East),, Kampala-Uganda/Kenya boarder(Malaba) ( East),, Ngetta-Apala-Adwari (North),, Tororo-Mbale-Soroti-Lira-Kamdini corner  (North),, Kitgum-Orom (North),, Karuma-Packwach-Nebbi-Arua-Koboko-Uganda/Sudan Boarder (North),, Lira-Acholibur-kitgum-Uganda/Sudan Boader  (North),, Atiak-Adjumani-Moyo-Yumbe-Manibe (North),, Kampala-Luweero-Karuma-Gulu-Uganda/Sudan Boarder  (North),, Karuma-Packwach-Nebbi-Arua-Koboko-Uganda/Sudan Boarder (North),, Layibi-Custom Corner (North),, Tororo-Mbale-Soroti-Lira-Kamdini Corner (North),, Arua-Biliafe-Otrevu (North),, Karuma-Packwach-Nebbi-Arua-Koboko-Uganda/Sudan Boarder  (North),, Kakuru-Rubale (West),, Ntare-Mutonto-Kacwangole (West),, Kisanja Park jctn-Buliisa (West),, Ntungamo-Kitaga-Kikolongo (West),, Kampala-Mubende-Fort portal-Uganda/DRC Boarder (West),, Kasese-Railway Station Road (West),, Kagamba Rukungiri (West),, Ntungamo-Kakukuru (West),, Kampala-Masaka-Mbarara-Kabale-Uganda/Rwanda boarder (West),, Kabwohe-Bwizibwera (West),, Kampala-Busunju-Kiboga-Hoima (West),, Bwijanga-Isimba Prisons (West),, Kyampisi-Musamya-Najoge-Namataba,,Trucker Driver,,Motor-cyclists,,Bus / Matatu Drivers,,Car Drivers,,Passenger,,Cyclist,,18-24,,25-30,,31-36,,37-44,,45-54,,55-63,,64 +,,RTA,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overall satisfaction levels,Very dissatisfied,83,3%,16,3%,37,8%,6,1%,11,2%,13,3%,7,4%,17,4%,10,8%,5,6%,2,5%,1,3%,0,0%,2,5%,0,0%,6,4%,2,5%,0,0%,0,0%,0,0%,0,0%,0,0%,3,8%,0,0%,0,0%,1,3%,0,0%,0,0%,1,3%,3,8%,10,8%,1,1%,2,2%,1,1%,7,9%,0,0%,2,5%,31,3%,52,4%,72,3%,11,5%,2,5%,0,0%,1,3%,2,5%,2,5%,2,5%,0,0%,1,3%,2,5%,4,10%,0,0%,4,10%,6,15%,2,5%,0,0%,2,5%,5,13%,1,3%,5,13%,5,13%,3,8%,3,8%,1,3%,1,3%,2,5%,0,0%,2,5%,0,0%,0,0%,0,0%,1,3%,0,0%,0,0%,0,0%,0,0%,3,8%,0,0%,0,0%,0,0%,0,0%,4,10%,0,0%,0,0%,2,5%,0,0%,2,5%,0,0%,0,0%,0,0%,3,8%,1,3%,0,0%,0,0%,0,0%,2,5%,1,3%,0,0%,2,5%,4,10%,0,0%,13,3%,21,5%,14,4%,9,2%,14,4%,12,3%,19,4%,28,4%,12,3%,15,4%,7,3%,2,3%,0,0%,0,0%
,Dissatisfied,634,27%,138,29%,138,29%,106,22%,123,26%,129,27%,37,23%,98,25%,38,32%,27,34%,19,49%,8,21%,10,13%,15,38%,20,25%,38,25%,9,23%,4,10%,11,28%,10,25%,12,30%,18,45%,15,38%,6,15%,7,18%,8,20%,12,15%,7,18%,10,25%,11,28%,55,46%,26,33%,18,15%,14,18%,42,53%,16,20%,13,33%,264,22%,370,31%,581,27%,53,23%,12,30%,15,38%,13,33%,11,28%,11,28%,7,18%,5,13%,12,32%,12,30%,8,20%,8,20%,9,23%,14,35%,9,23%,18,45%,15,38%,9,23%,10,25%,11,28%,20,50%,6,15%,11,28%,6,15%,8,21%,15,38%,6,15%,19,49%,4,10%,4,10%,16,40%,8,20%,5,13%,7,18%,7,18%,7,18%,15,38%,6,15%,18,45%,3,8%,11,28%,13,33%,10,25%,7,18%,9,23%,12,30%,15,38%,4,10%,8,20%,8,21%,22,55%,20,50%,9,23%,7,18%,5,13%,5,13%,6,15%,6,15%,13,33%,20,50%,24,60%,98,25%,104,26%,101,26%,103,26%,103,26%,125,32%,115,26%,173,25%,124,26%,116,30%,74,28%,24,34%,7,23%,1,100%
,Neither nor,179,8%,51,11%,38,8%,24,5%,32,7%,34,7%,17,11%,42,11%,9,8%,4,5%,1,3%,1,3%,3,4%,4,10%,1,1%,13,8%,3,8%,4,10%,2,5%,2,5%,1,3%,3,8%,1,3%,3,8%,1,3%,1,3%,9,11%,3,8%,4,10%,6,15%,7,6%,3,4%,9,8%,8,10%,2,3%,8,10%,4,10%,102,9%,77,6%,167,8%,12,5%,9,23%,4,10%,9,23%,2,5%,3,8%,4,10%,0,0%,1,3%,6,15%,5,13%,5,13%,2,5%,1,3%,4,10%,3,8%,4,10%,1,3%,4,10%,4,10%,0,0%,6,15%,6,15%,3,8%,1,3%,4,10%,2,5%,1,3%,1,3%,1,3%,0,0%,1,3%,5,13%,3,8%,1,3%,4,10%,1,3%,3,8%,3,8%,3,8%,2,5%,4,10%,2,5%,3,8%,3,8%,1,3%,3,8%,4,10%,3,8%,3,8%,0,0%,2,5%,3,8%,5,13%,1,3%,5,13%,5,13%,1,3%,4,10%,2,5%,3,8%,28,7%,35,9%,32,8%,32,8%,18,5%,34,9%,36,8%,47,7%,44,9%,26,7%,17,6%,5,7%,4,13%,0,0%
,Satisfied,1332,56%,250,52%,238,50%,313,66%,264,56%,267,56%,87,55%,217,55%,60,50%,39,49%,17,44%,28,72%,64,80%,17,44%,55,69%,84,54%,24,60%,24,62%,22,55%,22,55%,24,60%,17,43%,20,50%,27,68%,27,68%,28,70%,52,65%,25,63%,22,55%,19,48%,44,37%,46,58%,79,66%,47,59%,27,34%,49,61%,19,48%,692,58%,640,54%,1198,56%,134,59%,16,40%,18,45%,16,40%,23,58%,17,44%,25,63%,32,80%,23,61%,19,48%,22,55%,26,65%,22,55%,19,48%,24,60%,18,45%,17,43%,21,53%,22,55%,16,41%,15,38%,21,54%,19,48%,24,60%,28,72%,17,44%,30,75%,17,44%,32,80%,34,85%,23,58%,28,70%,25,63%,25,63%,27,68%,27,68%,20,50%,27,68%,17,43%,23,61%,22,55%,17,44%,22,55%,24,63%,24,60%,24,60%,20,50%,24,62%,28,70%,26,67%,14,35%,17,43%,24,60%,25,63%,27,68%,24,62%,21,53%,29,73%,19,48%,13,33%,13,33%,231,59%,213,53%,222,56%,233,58%,237,59%,196,49%,248,55%,405,58%,269,56%,209,53%,152,57%,33,47%,16,53%,0,0%
,Very satisfied,156,7%,22,5%,27,6%,28,6%,44,9%,35,7%,11,7%,23,6%,3,3%,5,6%,0,0%,1,3%,3,4%,1,3%,4,5%,14,9%,2,5%,7,18%,5,13%,6,15%,3,8%,2,5%,1,3%,4,10%,5,13%,2,5%,7,9%,5,13%,3,8%,1,3%,3,3%,4,5%,11,9%,9,11%,2,3%,7,9%,2,5%,102,9%,54,5%,137,6%,19,8%,1,3%,3,8%,1,3%,2,5%,6,15%,2,5%,3,8%,1,3%,1,3%,1,3%,1,3%,3,8%,0,0%,1,3%,1,3%,2,5%,4,10%,3,8%,3,8%,0,0%,3,8%,1,3%,6,15%,1,3%,1,3%,2,5%,0,0%,3,8%,1,3%,1,3%,2,5%,5,13%,5,13%,5,13%,2,5%,1,3%,4,10%,2,5%,9,24%,5,13%,1,3%,6,15%,4,11%,2,5%,3,8%,0,0%,7,18%,1,3%,2,5%,1,3%,0,0%,4,10%,3,8%,7,18%,3,8%,7,18%,4,10%,2,5%,1,3%,0,0%,24,6%,27,7%,26,7%,23,6%,27,7%,29,7%,29,6%,43,6%,30,6%,26,7%,19,7%,6,9%,3,10%,0,0%
Maintenaance of all national roads,Very dissatisfied,89,4%,11,2%,28,6%,9,2%,17,4%,24,5%,4,3%,7,2%,5,4%,6,8%,2,5%,2,5%,0,0%,0,0%,0,0%,7,5%,1,3%,0,0%,1,3%,0,0%,1,3%,3,8%,3,8%,1,3%,0,0%,2,5%,3,4%,0,0%,1,3%,2,5%,14,12%,5,6%,2,2%,4,5%,9,11%,2,3%,2,5%,31,3%,58,5%,80,4%,9,4%,3,8%,0,0%,2,5%,0,0%,1,3%,0,0%,0,0%,0,0%,2,5%,1,3%,0,0%,1,3%,3,8%,0,0%,3,8%,2,5%,3,8%,1,3%,5,13%,7,18%,1,3%,2,5%,0,0%,2,5%,0,0%,0,0%,2,5%,0,0%,0,0%,0,0%,2,5%,2,5%,0,0%,0,0%,1,3%,3,8%,1,3%,3,8%,1,3%,1,3%,3,8%,0,0%,0,0%,1,3%,1,3%,3,8%,0,0%,0,0%,3,8%,2,5%,4,10%,1,3%,1,3%,1,3%,1,3%,1,3%,1,3%,2,5%,7,18%,2,5%,12,3%,19,5%,18,5%,12,3%,13,3%,15,4%,17,4%,28,4%,18,4%,14,4%,12,4%,0,0%,0,0%,0,0%
,Dissatisfied,595,25%,136,28%,133,28%,103,22%,110,23%,113,24%,35,22%,105,26%,43,36%,22,28%,17,43%,11,28%,10,13%,15,38%,13,16%,34,22%,9,23%,4,10%,9,23%,10,25%,7,18%,16,40%,17,43%,4,10%,7,18%,9,23%,15,19%,6,15%,13,33%,9,23%,42,35%,19,24%,15,13%,9,11%,38,48%,19,24%,13,33%,241,20%,354,30%,548,25%,47,21%,6,15%,12,30%,7,18%,17,43%,9,23%,13,33%,8,20%,12,30%,11,28%,11,28%,12,30%,4,10%,12,32%,14,35%,12,31%,17,43%,10,25%,13,33%,12,30%,12,31%,14,35%,9,23%,4,10%,11,28%,15,38%,6,15%,17,43%,2,5%,4,10%,11,28%,9,23%,7,18%,6,15%,7,18%,8,20%,17,43%,4,10%,16,40%,6,16%,9,23%,12,31%,10,25%,4,11%,9,23%,7,18%,12,30%,4,10%,8,20%,6,15%,23,58%,14,35%,9,23%,10,25%,2,5%,5,13%,3,8%,5,13%,13,33%,15,38%,18,45%,87,22%,102,26%,103,26%,93,23%,105,26%,105,26%,97,22%,192,28%,105,22%,105,27%,70,26%,20,29%,6,20%,0,0%
,Neither nor,181,8%,37,8%,36,8%,25,5%,43,9%,40,8%,10,6%,34,9%,8,7%,4,5%,3,8%,2,5%,10,13%,1,3%,2,3%,15,10%,5,13%,4,10%,4,10%,2,5%,4,10%,1,3%,3,8%,5,13%,2,5%,1,3%,2,3%,2,5%,5,13%,4,10%,8,7%,4,5%,11,9%,8,10%,5,6%,7,9%,5,13%,108,9%,73,6%,167,8%,14,6%,8,20%,6,15%,6,15%,0,0%,2,5%,3,8%,0,0%,2,5%,2,5%,2,5%,4,10%,4,10%,1,3%,5,13%,3,8%,2,5%,1,3%,5,13%,5,13%,1,3%,2,5%,4,10%,3,8%,2,5%,1,3%,5,13%,3,8%,2,5%,5,13%,0,0%,1,3%,2,5%,2,5%,2,5%,0,0%,3,8%,5,13%,1,3%,3,8%,4,10%,6,15%,2,5%,4,11%,5,13%,4,10%,2,5%,4,10%,3,8%,2,5%,1,3%,2,5%,3,8%,4,10%,1,3%,7,18%,6,15%,2,5%,5,13%,4,10%,2,5%,26,7%,28,7%,30,8%,34,9%,30,8%,33,8%,34,8%,39,6%,41,9%,39,10%,20,7%,6,9%,2,7%,0,0%
