"Q1c:In general, how safe do u feel when travelling on ugandan roads?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,Region,,,,,District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Road Type,,Respondent Gender,,Road Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Respondent Type,,,,,,Age bracket,,,,,,,
,,,,Southern, Central, Eastern, Northern, Western,Kampala,Wakiso,Mubende,Mityana,Soroti,Ngora,Mbale,Amuria,Tororo,Arua,Gulu,Nwoya,Lamwo,Oyam,Lira,Kitgum,Alebtong,Dokolo,Bukedea,Kamuli,Iganga,Busia,Luwero,Rakai,Mukono,Bushenyi,Ntungamo,Mbarara,Masindi,Kasese,Hoima,PAVED,UNPAVED,MALE,FEMALE, Access to Katabi (Kampala/Wakiso), Entebbe-Nakiwogo (Kampala/Wakiso), Mbuya/Silver Springs-Bweyogerere (Kampala/Wakiso), Kakikiri-Lwentama (Kampala/Wakiso), Entebbe Road (Kampala/Wakiso), Kampala-Luweero-Karuma-Gulu-Uganda/Sudan Boarder (Kampala/Wakiso), Busega-Northern bypass (Kampala/Wakiso), Abayita-Ababiri-Kasenyi (Kampala/Wakiso), Old Masaka Road(Kyengera-Kabojja Secondary school turn off) (Kampala/Wakiso), Namboole-Kampala Industrial park-Mukono (Kampala/Wakiso), Misindye-bukerere-kiyunge (Kampala/Wakiso), Kampala Northern bypass ( Central), Muyina Yina Prison ( Central), Kampala-Mubende-Fort portal-Uganda/DRC Boarder ( Central), Mityana-Railway Access ( Central), Rwebituti-Gold mines spur ( Central), Mityana Katakala Naama ( Central), Zirobwe-Lwajjali-Kasawo-Kabimbili ( Central), Kampala-Uganda/Kenya boarder(Malaba) ( Central), Mukono-kyetume-Kisoga-Katosi ( Central), Nabbingo Access Road ( Central), Masaka-Kyotela-Mutukula ( Central), Kubili-Round about-Gayaza-Kalagi ( Central), Tirinyi-Pallisa-Ladot-kumi ( East), Amuria-Amucu-Kapelebyong-Oreta ( East), Iganga-Tirinyi-Mbale ( East), Lira Junction-Arapai ( East), Tororo-Mbale-Soroti-Lira-Kamdini corner ( East), Iganga-Tirinyi-Mbale ( East), Magodes Busumbu Bunamba ( East), Kamuli Railway Access ( East), Iganga Railway Access ( East), Namutere-Busia ( East), Kachumbala-Korir ( East), Kampala-Uganda/Kenya boarder(Malaba) ( East), Ngetta-Apala-Adwari (North), Tororo-Mbale-Soroti-Lira-Kamdini corner  (North), Kitgum-Orom (North), Karuma-Packwach-Nebbi-Arua-Koboko-Uganda/Sudan Boarder (North), Lira-Acholibur-kitgum-Uganda/Sudan Boader  (North), Atiak-Adjumani-Moyo-Yumbe-Manibe (North), Kampala-Luweero-Karuma-Gulu-Uganda/Sudan Boarder  (North), Karuma-Packwach-Nebbi-Arua-Koboko-Uganda/Sudan Boarder (North), Layibi-Custom Corner (North), Tororo-Mbale-Soroti-Lira-Kamdini Corner (North), Arua-Biliafe-Otrevu (North), Karuma-Packwach-Nebbi-Arua-Koboko-Uganda/Sudan Boarder  (North), Kakuru-Rubale (West), Ntare-Mutonto-Kacwangole (West), Kisanja Park jctn-Buliisa (West), Ntungamo-Kitaga-Kikolongo (West), Kampala-Mubende-Fort portal-Uganda/DRC Boarder (West), Kasese-Railway Station Road (West), Kagamba Rukungiri (West), Ntungamo-Kakukuru (West), Kampala-Masaka-Mbarara-Kabale-Uganda/Rwanda boarder (West), Kabwohe-Bwizibwera (West), Kampala-Busunju-Kiboga-Hoima (West), Bwijanga-Isimba Prisons (West), Kyampisi-Musamya-Najoge-Namataba,Trucker Driver,Motor-cyclists,Bus / Matatu Drivers,Car Drivers,Passenger,Cyclist,18-24,25-30,31-36,37-44,45-54,55-63,64 +,RTA
Total,,,2400,480,480,480,480,480,160,400,120,80,40,40,80,40,80,160,40,40,40,40,40,40,40,40,40,40,80,40,40,40,120,80,120,80,80,80,40,1200,1200,2170,230,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,398,403,396,403,402,398,448,702,483,393,272,71,30,1
,,,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
,Very Unsafe,,208,58,51,21,38,40,22,42,14,12,4,2,1,1,4,16,3,2,2,0,2,6,6,1,0,2,5,2,1,5,13,9,11,7,3,7,3,70,138,189,19,1,0,4,11,3,1,4,8,6,11,7,2,6,5,6,3,6,1,2,9,3,5,3,2,1,0,4,1,1,3,2,3,2,0,2,6,1,6,0,2,7,0,1,3,2,8,2,4,6,1,7,4,3,3,4,1,2,3,2,2,43,40,25,41,34,25,36,65,47,27,24,5,4,0
,,,9%,12%,11%,4%,8%,8%,14%,11%,12%,15%,10%,5%,1%,3%,5%,10%,8%,5%,5%,0%,5%,15%,15%,3%,0%,5%,6%,5%,3%,13%,11%,11%,9%,9%,4%,9%,8%,6%,12%,9%,8%,3%,0%,10%,28%,8%,3%,10%,20%,15%,28%,18%,5%,15%,13%,15%,8%,15%,3%,5%,23%,8%,13%,8%,5%,3%,0%,10%,3%,3%,8%,5%,8%,5%,0%,5%,15%,3%,15%,0%,5%,18%,0%,3%,8%,5%,20%,5%,10%,15%,3%,18%,10%,8%,8%,10%,3%,5%,8%,5%,5%,11%,10%,6%,10%,8%,6%,8%,9%,10%,7%,9%,7%,13%,0%
,Unsafe,,1161,261,265,225,207,203,78,223,66,37,22,19,29,20,30,64,12,17,14,24,17,23,20,16,18,22,49,16,23,23,76,31,38,34,49,28,23,570,591,1045,116,25,23,25,21,21,26,15,15,26,17,22,19,21,17,21,28,16,23,33,18,19,23,27,19,20,20,22,13,9,17,22,25,16,18,24,20,16,23,13,14,20,24,14,12,17,17,17,14,16,27,16,14,14,7,17,18,15,23,22,25,177,198,199,176,192,219,225,335,240,197,118,34,11,1
,,,48%,54%,55%,47%,43%,42%,49%,56%,55%,46%,55%,48%,36%,50%,38%,40%,30%,43%,35%,60%,43%,58%,50%,40%,45%,55%,61%,40%,58%,58%,63%,39%,32%,43%,61%,35%,58%,48%,49%,48%,50%,63%,58%,63%,53%,53%,65%,38%,38%,65%,43%,55%,48%,53%,43%,53%,70%,40%,58%,83%,45%,48%,58%,68%,48%,50%,50%,55%,33%,23%,43%,55%,63%,40%,45%,60%,50%,40%,58%,33%,35%,50%,60%,35%,30%,43%,43%,43%,35%,40%,68%,40%,35%,35%,18%,43%,45%,38%,58%,55%,63%,44%,49%,50%,44%,48%,55%,50%,48%,50%,50%,43%,48%,37%,100%
,Neither safe nor unsafe,,134,16,23,26,38,31,6,20,2,2,1,2,8,9,3,14,4,6,1,1,2,2,3,5,1,1,1,0,2,3,4,8,2,6,6,7,2,74,60,122,12,2,2,3,1,0,2,2,0,2,1,1,6,0,1,2,1,0,2,0,4,2,3,2,2,9,2,1,3,6,0,1,0,0,1,1,3,5,2,3,1,3,1,4,4,2,4,6,2,4,3,4,3,4,0,0,2,4,2,3,0,22,19,22,28,24,19,30,44,16,19,16,5,4,0
,,,6%,3%,5%,5%,8%,6%,4%,5%,2%,3%,3%,5%,10%,23%,4%,9%,10%,15%,3%,3%,5%,5%,8%,13%,3%,3%,1%,0%,5%,8%,3%,10%,2%,8%,8%,9%,5%,6%,5%,6%,5%,5%,5%,8%,3%,0%,5%,5%,0%,5%,3%,3%,15%,0%,3%,5%,3%,0%,5%,0%,10%,5%,8%,5%,5%,23%,5%,3%,8%,15%,0%,3%,0%,0%,3%,3%,8%,13%,5%,8%,3%,8%,3%,10%,10%,5%,10%,15%,5%,10%,8%,10%,8%,10%,0%,0%,5%,10%,5%,8%,0%,6%,5%,6%,7%,6%,5%,7%,6%,3%,5%,6%,7%,13%,0%
,Safe,,812,134,121,203,179,175,47,108,30,26,13,17,41,10,42,58,20,13,22,13,19,8,11,15,20,15,24,21,10,8,26,29,54,27,20,35,10,433,379,739,73,11,15,8,6,14,10,15,17,5,10,10,12,12,14,10,4,16,10,4,9,16,8,6,17,10,17,13,22,24,20,15,11,21,20,13,11,15,8,17,22,10,13,20,20,19,11,13,19,12,8,13,18,17,20,15,15,16,10,12,13,143,139,138,143,135,114,139,239,163,141,99,21,10,0
