Q3c:What should be UNRA's top three priorities on roads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,Region,,,,,District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Road Type,,Respondent Gender,,Road Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Respondent Type,,,,,,Age bracket,,,,,,,
,,,,Southern, Central, Eastern, Northern, Western,Kampala,Wakiso,Mubende,Mityana,Soroti,Ngora,Mbale,Amuria,Tororo,Arua,Gulu,Nwoya,Lamwo,Oyam,Lira,Kitgum,Alebtong,Dokolo,Bukedea,Kamuli,Iganga,Busia,Luwero,Rakai,Mukono,Bushenyi,Ntungamo,Mbarara,Masindi,Kasese,Hoima,PAVED,UNPAVED,MALE,FEMALE, Access to Katabi (Kampala/Wakiso), Entebbe-Nakiwogo (Kampala/Wakiso), Mbuya/Silver Springs-Bweyogerere (Kampala/Wakiso), Kakikiri-Lwentama (Kampala/Wakiso), Entebbe Road (Kampala/Wakiso), Kampala-Luweero-Karuma-Gulu-Uganda/Sudan Boarder (Kampala/Wakiso), Busega-Northern bypass (Kampala/Wakiso), Abayita-Ababiri-Kasenyi (Kampala/Wakiso), Old Masaka Road(Kyengera-Kabojja Secondary school turn off) (Kampala/Wakiso), Namboole-Kampala Industrial park-Mukono (Kampala/Wakiso), Misindye-bukerere-kiyunge (Kampala/Wakiso), Kampala Northern bypass ( Central), Muyina Yina Prison ( Central), Kampala-Mubende-Fort portal-Uganda/DRC Boarder ( Central), Mityana-Railway Access ( Central), Rwebituti-Gold mines spur ( Central), Mityana Katakala Naama ( Central), Zirobwe-Lwajjali-Kasawo-Kabimbili ( Central), Kampala-Uganda/Kenya boarder(Malaba) ( Central), Mukono-kyetume-Kisoga-Katosi ( Central), Nabbingo Access Road ( Central), Masaka-Kyotela-Mutukula ( Central), Kubili-Round about-Gayaza-Kalagi ( Central), Tirinyi-Pallisa-Ladot-kumi ( East), Amuria-Amucu-Kapelebyong-Oreta ( East), Iganga-Tirinyi-Mbale ( East), Lira Junction-Arapai ( East), Tororo-Mbale-Soroti-Lira-Kamdini corner ( East), Iganga-Tirinyi-Mbale ( East), Magodes Busumbu Bunamba ( East), Kamuli Railway Access ( East), Iganga Railway Access ( East), Namutere-Busia ( East), Kachumbala-Korir ( East), Kampala-Uganda/Kenya boarder(Malaba) ( East), Ngetta-Apala-Adwari (North), Tororo-Mbale-Soroti-Lira-Kamdini corner  (North), Kitgum-Orom (North), Karuma-Packwach-Nebbi-Arua-Koboko-Uganda/Sudan Boarder (North), Lira-Acholibur-kitgum-Uganda/Sudan Boader  (North), Atiak-Adjumani-Moyo-Yumbe-Manibe (North), Kampala-Luweero-Karuma-Gulu-Uganda/Sudan Boarder  (North), Karuma-Packwach-Nebbi-Arua-Koboko-Uganda/Sudan Boarder (North), Layibi-Custom Corner (North), Tororo-Mbale-Soroti-Lira-Kamdini Corner (North), Arua-Biliafe-Otrevu (North), Karuma-Packwach-Nebbi-Arua-Koboko-Uganda/Sudan Boarder  (North), Kakuru-Rubale (West), Ntare-Mutonto-Kacwangole (West), Kisanja Park jctn-Buliisa (West), Ntungamo-Kitaga-Kikolongo (West), Kampala-Mubende-Fort portal-Uganda/DRC Boarder (West), Kasese-Railway Station Road (West), Kagamba Rukungiri (West), Ntungamo-Kakukuru (West), Kampala-Masaka-Mbarara-Kabale-Uganda/Rwanda boarder (West), Kabwohe-Bwizibwera (West), Kampala-Busunju-Kiboga-Hoima (West), Bwijanga-Isimba Prisons (West), Kyampisi-Musamya-Najoge-Namataba,Trucker Driver,Motor-cyclists,Bus / Matatu Drivers,Car Drivers,Passenger,Cyclist,18-24,25-30,31-36,37-44,45-54,55-63,64 +,RTA
Total,,,2400,480,480,480,480,480,160,400,120,80,40,40,80,40,80,160,40,40,40,40,40,40,40,40,40,40,80,40,40,40,120,80,120,80,80,80,40,1200,1200,2170,230,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,398,403,396,403,402,398,448,702,483,393,272,71,30,1
,,,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
, Better Road Maintenance,,723,123,119,163,146,172,46,88,48,25,13,16,31,12,26,54,8,14,12,14,15,10,7,12,12,13,28,12,7,6,22,35,44,26,23,33,11,373,350,652,71,8,8,13,16,9,12,15,4,7,9,11,8,16,16,12,16,13,7,8,3,8,6,6,16,12,13,13,10,18,16,13,14,12,12,14,7,12,10,18,12,16,14,8,8,15,12,14,13,10,12,19,16,17,16,15,16,16,11,11,11,117,106,124,132,122,122,121,207,159,113,84,23,15,1
,,,30%,26%,25%,34%,30%,36%,29%,22%,40%,31%,33%,40%,39%,30%,33%,34%,20%,35%,30%,35%,38%,25%,18%,30%,30%,33%,35%,30%,18%,15%,18%,44%,37%,33%,29%,41%,28%,31%,29%,30%,31%,20%,20%,33%,40%,23%,30%,38%,10%,18%,23%,28%,20%,40%,40%,30%,40%,33%,18%,20%,8%,20%,15%,15%,40%,30%,33%,33%,25%,45%,40%,33%,35%,30%,30%,35%,18%,30%,25%,45%,30%,40%,35%,20%,20%,38%,30%,35%,33%,25%,30%,48%,40%,43%,40%,38%,40%,40%,28%,28%,28%,29%,26%,31%,33%,30%,31%,27%,29%,33%,29%,31%,32%,50%,100%
, Reduce Dust,,103,34,19,13,18,19,6,31,4,4,0,1,1,3,2,10,1,0,1,3,0,3,0,0,2,1,3,0,1,1,6,3,5,4,3,3,1,34,69,88,15,0,2,0,0,0,2,3,4,4,3,13,5,1,2,2,1,2,1,2,1,0,1,1,1,3,1,0,0,0,2,1,2,0,2,1,0,0,3,2,1,1,3,2,1,0,5,0,1,3,2,1,2,1,1,3,1,2,1,1,3,20,9,22,14,22,16,21,32,24,14,9,1,2,0
,,,4%,7%,4%,3%,4%,4%,4%,8%,3%,5%,0%,3%,1%,8%,3%,6%,3%,0%,3%,8%,0%,8%,0%,0%,5%,3%,4%,0%,3%,3%,5%,4%,4%,5%,4%,4%,3%,3%,6%,4%,7%,0%,5%,0%,0%,0%,5%,8%,10%,10%,8%,33%,13%,3%,5%,5%,3%,5%,3%,5%,3%,0%,3%,3%,3%,8%,3%,0%,0%,0%,5%,3%,5%,0%,5%,3%,0%,0%,8%,5%,3%,3%,8%,5%,3%,0%,13%,0%,3%,8%,5%,3%,5%,3%,3%,8%,3%,5%,3%,3%,8%,5%,2%,6%,3%,5%,4%,5%,5%,5%,4%,3%,1%,7%,0%
, More Road building,,369,95,80,61,56,77,34,83,22,15,11,10,9,5,5,22,4,7,7,6,4,4,2,0,2,7,12,0,1,3,17,8,25,10,15,11,8,179,190,331,38,5,4,6,8,13,10,10,13,7,5,9,10,6,4,6,12,9,1,6,6,10,3,7,10,5,5,11,2,4,3,7,7,0,2,5,2,0,4,6,7,2,6,6,4,4,8,7,6,5,6,1,8,3,10,9,5,7,8,9,5,58,55,68,70,64,54,69,120,57,66,38,15,4,0
,,,15%,20%,17%,13%,12%,16%,21%,21%,18%,19%,28%,25%,11%,13%,6%,14%,10%,18%,18%,15%,10%,10%,5%,0%,5%,18%,15%,0%,3%,8%,14%,10%,21%,13%,19%,14%,20%,15%,16%,15%,17%,13%,10%,15%,20%,33%,25%,25%,33%,18%,13%,23%,25%,15%,10%,15%,30%,23%,3%,15%,15%,25%,8%,18%,25%,13%,13%,28%,5%,10%,8%,18%,18%,0%,5%,13%,5%,0%,10%,15%,18%,5%,15%,15%,10%,10%,20%,18%,15%,13%,15%,3%,20%,8%,25%,23%,13%,18%,20%,23%,13%,15%,14%,17%,17%,16%,14%,15%,17%,12%,17%,14%,21%,13%,0%
, More Tarmac Roads,,924,161,101,177,277,208,45,118,27,20,24,26,26,21,30,103,16,22,25,21,15,24,30,21,7,18,16,9,13,6,33,33,64,30,43,25,13,374,550,816,108,16,7,14,13,15,4,4,26,9,12,29,5,9,8,12,10,8,13,6,15,1,6,8,26,21,10,24,13,16,17,18,6,9,7,10,30,21,24,22,25,30,21,18,16,15,33,22,19,16,21,11,11,14,16,29,14,22,13,22,12,134,159,154,145,180,152,179,249,183,152,110,37,14,0
