Q5a:What form of communication do you ues/access most often?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,Region,,,,,District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Road Type,,Respondent Gender,,Road Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Respondent Type,,,,,,Age bracket,,,,,,,
,,,,Southern, Central, Eastern, Northern, Western,Kampala,Wakiso,Mubende,Mityana,Soroti,Ngora,Mbale,Amuria,Tororo,Arua,Gulu,Nwoya,Lamwo,Oyam,Lira,Kitgum,Alebtong,Dokolo,Bukedea,Kamuli,Iganga,Busia,Luwero,Rakai,Mukono,Bushenyi,Ntungamo,Mbarara,Masindi,Kasese,Hoima,PAVED,UNPAVED,MALE,FEMALE, Access to Katabi (Kampala/Wakiso), Entebbe-Nakiwogo (Kampala/Wakiso), Mbuya/Silver Springs-Bweyogerere (Kampala/Wakiso), Kakikiri-Lwentama (Kampala/Wakiso), Entebbe Road (Kampala/Wakiso), Kampala-Luweero-Karuma-Gulu-Uganda/Sudan Boarder (Kampala/Wakiso), Busega-Northern bypass (Kampala/Wakiso), Abayita-Ababiri-Kasenyi (Kampala/Wakiso), Old Masaka Road(Kyengera-Kabojja Secondary school turn off) (Kampala/Wakiso), Namboole-Kampala Industrial park-Mukono (Kampala/Wakiso), Misindye-bukerere-kiyunge (Kampala/Wakiso), Kampala Northern bypass ( Central), Muyina Yina Prison ( Central), Kampala-Mubende-Fort portal-Uganda/DRC Boarder ( Central), Mityana-Railway Access ( Central), Rwebituti-Gold mines spur ( Central), Mityana Katakala Naama ( Central), Zirobwe-Lwajjali-Kasawo-Kabimbili ( Central), Kampala-Uganda/Kenya boarder(Malaba) ( Central), Mukono-kyetume-Kisoga-Katosi ( Central), Nabbingo Access Road ( Central), Masaka-Kyotela-Mutukula ( Central), Kubili-Round about-Gayaza-Kalagi ( Central), Tirinyi-Pallisa-Ladot-kumi ( East), Amuria-Amucu-Kapelebyong-Oreta ( East), Iganga-Tirinyi-Mbale ( East), Lira Junction-Arapai ( East), Tororo-Mbale-Soroti-Lira-Kamdini corner ( East), Iganga-Tirinyi-Mbale ( East), Magodes Busumbu Bunamba ( East), Kamuli Railway Access ( East), Iganga Railway Access ( East), Namutere-Busia ( East), Kachumbala-Korir ( East), Kampala-Uganda/Kenya boarder(Malaba) ( East), Ngetta-Apala-Adwari (North), Tororo-Mbale-Soroti-Lira-Kamdini corner  (North), Kitgum-Orom (North), Karuma-Packwach-Nebbi-Arua-Koboko-Uganda/Sudan Boarder (North), Lira-Acholibur-kitgum-Uganda/Sudan Boader  (North), Atiak-Adjumani-Moyo-Yumbe-Manibe (North), Kampala-Luweero-Karuma-Gulu-Uganda/Sudan Boarder  (North), Karuma-Packwach-Nebbi-Arua-Koboko-Uganda/Sudan Boarder (North), Layibi-Custom Corner (North), Tororo-Mbale-Soroti-Lira-Kamdini Corner (North), Arua-Biliafe-Otrevu (North), Karuma-Packwach-Nebbi-Arua-Koboko-Uganda/Sudan Boarder  (North), Kakuru-Rubale (West), Ntare-Mutonto-Kacwangole (West), Kisanja Park jctn-Buliisa (West), Ntungamo-Kitaga-Kikolongo (West), Kampala-Mubende-Fort portal-Uganda/DRC Boarder (West), Kasese-Railway Station Road (West), Kagamba Rukungiri (West), Ntungamo-Kakukuru (West), Kampala-Masaka-Mbarara-Kabale-Uganda/Rwanda boarder (West), Kabwohe-Bwizibwera (West), Kampala-Busunju-Kiboga-Hoima (West), Bwijanga-Isimba Prisons (West), Kyampisi-Musamya-Najoge-Namataba,Trucker Driver,Motor-cyclists,Bus / Matatu Drivers,Car Drivers,Passenger,Cyclist,18-24,25-30,31-36,37-44,45-54,55-63,64 +,RTA
Total,,,2400,480,480,480,480,480,160,400,120,80,40,40,80,40,80,160,40,40,40,40,40,40,40,40,40,40,80,40,40,40,120,80,120,80,80,80,40,1200,1200,2170,230,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,398,403,396,403,402,398,448,702,483,393,272,71,30,1
,,,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
, Radio,,1275,222,286,260,210,297,65,195,75,56,23,21,41,21,43,85,9,20,17,16,14,13,21,15,21,27,41,22,19,29,69,40,73,31,74,45,34,590,685,1145,130,10,17,13,18,24,22,13,21,21,15,24,15,28,19,29,28,27,19,21,24,26,29,21,21,21,24,23,18,17,25,27,21,22,21,20,21,15,13,18,17,23,16,18,9,14,26,20,30,17,35,21,23,22,21,22,14,19,34,39,24,175,233,226,157,237,247,262,354,246,197,143,51,21,1
,,,53%,46%,60%,54%,44%,62%,41%,49%,63%,70%,58%,53%,51%,53%,54%,53%,23%,50%,43%,40%,35%,33%,53%,38%,53%,68%,51%,55%,48%,73%,58%,50%,61%,39%,93%,56%,85%,49%,57%,53%,57%,25%,43%,33%,45%,60%,55%,33%,53%,53%,38%,60%,38%,70%,48%,73%,70%,68%,48%,53%,60%,65%,73%,53%,53%,53%,60%,58%,45%,43%,63%,68%,53%,55%,53%,50%,53%,38%,33%,45%,43%,58%,40%,45%,23%,35%,65%,50%,75%,43%,88%,53%,58%,55%,53%,55%,35%,48%,85%,98%,60%,44%,58%,57%,39%,59%,62%,58%,50%,51%,50%,53%,72%,70%,100%
, T.V,,361,136,48,50,32,95,48,91,10,5,1,2,12,5,10,10,4,2,1,3,1,5,1,5,5,1,8,6,5,2,23,18,19,31,3,19,5,213,148,318,43,12,16,16,4,10,13,11,12,11,11,8,6,2,6,1,2,4,5,7,4,2,2,7,2,5,7,1,7,5,3,1,3,6,5,5,1,5,5,2,1,0,3,6,4,1,2,2,5,15,3,7,9,10,8,6,16,11,5,0,12,67,52,63,77,58,44,57,113,79,61,41,9,1,0
,,,15%,28%,10%,10%,7%,20%,30%,23%,8%,6%,3%,5%,15%,13%,13%,6%,10%,5%,3%,8%,3%,13%,3%,13%,13%,3%,10%,15%,13%,5%,19%,23%,16%,39%,4%,24%,13%,18%,12%,15%,19%,30%,40%,40%,10%,25%,33%,28%,30%,28%,28%,20%,15%,5%,15%,3%,5%,10%,13%,18%,10%,5%,5%,18%,5%,13%,18%,3%,18%,13%,8%,3%,8%,15%,13%,13%,3%,13%,13%,5%,3%,0%,8%,15%,10%,3%,5%,5%,13%,38%,8%,18%,23%,25%,20%,15%,40%,28%,13%,0%,30%,17%,13%,16%,19%,14%,11%,13%,16%,16%,16%,15%,13%,3%,0%
, SMS,,237,52,44,50,29,62,22,45,10,4,7,6,10,7,4,16,6,2,1,4,0,0,0,0,4,4,6,2,6,3,6,16,21,10,1,14,0,132,105,222,15,13,0,6,3,3,0,8,2,7,5,5,5,3,3,2,4,2,6,3,3,6,3,4,6,7,3,7,3,7,1,4,3,2,4,3,0,0,0,5,1,3,4,5,6,0,3,2,5,4,1,8,7,7,9,7,6,8,0,0,0,54,40,34,43,35,31,45,75,41,45,27,3,1,0
,,,10%,11%,9%,10%,6%,13%,14%,11%,8%,5%,18%,15%,13%,18%,5%,10%,15%,5%,3%,10%,0%,0%,0%,0%,10%,10%,8%,5%,15%,8%,5%,20%,18%,13%,1%,18%,0%,11%,9%,10%,7%,33%,0%,15%,8%,8%,0%,20%,5%,18%,13%,13%,13%,8%,8%,5%,10%,5%,15%,8%,8%,15%,8%,10%,15%,18%,8%,18%,8%,18%,3%,10%,8%,5%,10%,8%,0%,0%,0%,13%,3%,8%,10%,13%,15%,0%,8%,5%,13%,10%,3%,20%,18%,18%,23%,18%,15%,20%,0%,0%,0%,14%,10%,9%,11%,9%,8%,10%,11%,8%,11%,10%,4%,3%,0%
, Newspapers,,83,12,9,20,21,21,4,11,2,1,3,0,3,1,4,6,2,3,1,1,2,1,3,2,3,2,4,0,0,0,3,5,5,6,2,2,1,49,34,77,6,1,3,1,0,0,2,1,2,0,2,0,0,1,1,0,0,1,0,3,0,1,0,2,0,1,2,3,3,1,1,2,3,0,3,1,3,2,1,3,1,1,1,2,2,2,0,3,0,3,1,4,1,1,1,4,3,1,1,1,0,20,7,13,28,11,4,6,19,24,25,6,0,3,0
